"translation_key","old_language_code","new_language_code","old_text","new_text","classification","auto_cleanable"
"ADDRESS_TYPE.COMPANY","DE-CH","de-CH","Firma","Firma","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.COMPANY","DE-DE","de-DE","Unternehmen","Unternehmen","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.COMPANY","EN-US","en-US","Company","Company","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.COMPANY","IT-CH","it-CH","Azienda","Azienda","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.CUSTOMER","DE-CH","de-CH","Kunde","Kunde","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.CUSTOMER","DE-DE","de-DE","Kunde","Kunde","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.CUSTOMER","EN-US","en-US","Customer","Customer","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.CUSTOMER","IT-CH","it-CH","Cliente","Cliente","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.EMPLOYEE","DE-CH","de-CH","Mitarbeiter","Mitarbeiter","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.EMPLOYEE","DE-DE","de-DE","Mitarbeiter","Mitarbeiter","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.EMPLOYEE","EN-US","en-US","Employee","Employee","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.EMPLOYEE","IT-CH","it-CH","Collaboratore","Collaboratore","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.OTHER","DE-CH","de-CH","Andere","Andere","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.OTHER","DE-DE","de-DE","Sonstige","Sonstige","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.OTHER","EN-US","en-US","Other","Other","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.OTHER","IT-CH","it-CH","Altro","Altro","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.PARTNER","DE-CH","de-CH","Partner","Partner","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.PARTNER","DE-DE","de-DE","Partner","Partner","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.PARTNER","EN-US","en-US","Partner","Partner","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.PARTNER","IT-CH","it-CH","Partner","Partner","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.PRIVATE","DE-CH","de-CH","Privat","Privat","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.PRIVATE","DE-DE","de-DE","Privat","Privat","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.PRIVATE","EN-US","en-US","Private","Private","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.PRIVATE","IT-CH","it-CH","Privato","Privato","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.SUPPLIER","DE-CH","de-CH","Lieferant","Lieferant","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.SUPPLIER","DE-DE","de-DE","Lieferant","Lieferant","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.SUPPLIER","EN-US","en-US","Supplier","Supplier","IDENTICAL_SELF_MATCH","True"
"ADDRESS_TYPE.SUPPLIER","IT-CH","it-CH","Fornitore","Fornitore","IDENTICAL_SELF_MATCH","True"
"ADDRESSING_MODE.FORMAL","DE-CH","de-CH","Formal","Formal","IDENTICAL_SELF_MATCH","True"
"ADDRESSING_MODE.FORMAL","DE-DE","de-DE","Formal","Formal","IDENTICAL_SELF_MATCH","True"
"ADDRESSING_MODE.FORMAL","EN-US","en-US","Formal","Formal","IDENTICAL_SELF_MATCH","True"
"ADDRESSING_MODE.FORMAL","IT-CH","it-CH","Formale","Formale","IDENTICAL_SELF_MATCH","True"
