"translation_key","old_language_code","new_language_code","text"
"ADDRESS_TYPE.COMPANY","DE-CH","de-CH","Firma"
"ADDRESS_TYPE.COMPANY","DE-DE","de-DE","Unternehmen"
"ADDRESS_TYPE.COMPANY","EN-US","en-US","Company"
"ADDRESS_TYPE.COMPANY","IT-CH","it-CH","Azienda"
"ADDRESS_TYPE.CUSTOMER","DE-CH","de-CH","Kunde"
"ADDRESS_TYPE.CUSTOMER","DE-DE","de-DE","Kunde"
"ADDRESS_TYPE.CUSTOMER","EN-US","en-US","Customer"
"ADDRESS_TYPE.CUSTOMER","IT-CH","it-CH","Cliente"
"ADDRESS_TYPE.EMPLOYEE","DE-CH","de-CH","Mitarbeiter"
"ADDRESS_TYPE.EMPLOYEE","DE-DE","de-DE","Mitarbeiter"
"ADDRESS_TYPE.EMPLOYEE","EN-US","en-US","Employee"
"ADDRESS_TYPE.EMPLOYEE","IT-CH","it-CH","Collaboratore"
"ADDRESS_TYPE.OTHER","DE-CH","de-CH","Andere"
"ADDRESS_TYPE.OTHER","DE-DE","de-DE","Sonstige"
"ADDRESS_TYPE.OTHER","EN-US","en-US","Other"
"ADDRESS_TYPE.OTHER","IT-CH","it-CH","Altro"
"ADDRESS_TYPE.PARTNER","DE-CH","de-CH","Partner"
"ADDRESS_TYPE.PARTNER","DE-DE","de-DE","Partner"
"ADDRESS_TYPE.PARTNER","EN-US","en-US","Partner"
"ADDRESS_TYPE.PARTNER","IT-CH","it-CH","Partner"
"ADDRESS_TYPE.PRIVATE","DE-CH","de-CH","Privat"
"ADDRESS_TYPE.PRIVATE","DE-DE","de-DE","Privat"
"ADDRESS_TYPE.PRIVATE","EN-US","en-US","Private"
"ADDRESS_TYPE.PRIVATE","IT-CH","it-CH","Privato"
"ADDRESS_TYPE.SUPPLIER","DE-CH","de-CH","Lieferant"
"ADDRESS_TYPE.SUPPLIER","DE-DE","de-DE","Lieferant"
"ADDRESS_TYPE.SUPPLIER","EN-US","en-US","Supplier"
"ADDRESS_TYPE.SUPPLIER","IT-CH","it-CH","Fornitore"
"ADDRESSING_MODE.FORMAL","DE-CH","de-CH","Formal"
"ADDRESSING_MODE.FORMAL","DE-DE","de-DE","Formal"
"ADDRESSING_MODE.FORMAL","EN-US","en-US","Formal"
"ADDRESSING_MODE.FORMAL","IT-CH","it-CH","Formale"
"ADDRESSING_MODE.INFORMAL","DE-CH","de-CH","Informell"
"ADDRESSING_MODE.INFORMAL","DE-DE","de-DE","Informell"
"ADDRESSING_MODE.INFORMAL","EN-US","en-US","Informal"
"ADDRESSING_MODE.INFORMAL","IT-CH","it-CH","Informale"
"COMMON.ALL","DE-CH","de-CH","Alle"
