"target","module","line","calling_procedure","context","arguments","raw_line","expected_return"
"HasControl","modAppDashboardService","134","SetDisplayValueIfPresent","condition","formInstance, ControlName","If Not HasControl(formInstance, ControlName) Then","Boolean/Truth value"
"HasControl","modAppDashboardService","161","SetCaptionIfPresent","condition","formInstance, ControlName","If Not HasControl(formInstance, ControlName) Then","Boolean/Truth value"
"HasControl","modAppShell","385","LoadNavigationHost","condition","shellForm, NAVIGATION_SUBFORM_CONTROL","If Not HasControl(shellForm, NAVIGATION_SUBFORM_CONTROL) Then","Boolean/Truth value"
"HasControl","modAppShell","479","SetDisplayValueIfPresent","condition","formInstance, ControlName","If Not HasControl(formInstance, ControlName) Then","Boolean/Truth value"
"HasControl","modAppShell","506","SetCaptionIfPresent","condition","formInstance, ControlName","If Not HasControl(formInstance, ControlName) Then","Boolean/Truth value"
"HasControl","modAppShell","525","SetControlEnabledIfPresent","condition","formInstance, ControlName","If Not HasControl(formInstance, ControlName) Then","Boolean/Truth value"
"HasControl","modAppShell","544","SetControlVisibleIfPresent","condition","formInstance, ControlName","If Not HasControl(formInstance, ControlName) Then","Boolean/Truth value"
"HasControl","modAppShell","580","ClearShellSearchText","condition","shellForm, TEXT_SHELL_SEARCH","If HasControl(shellForm, TEXT_SHELL_SEARCH) Then","Boolean/Truth value"
"HasControl","modAppShell","618","ResetCommandBarSlot","condition","shellForm, ControlName","If Not HasControl(shellForm, ControlName) Then","Boolean/Truth value"
"HasControl","modAppShell","761","ApplyCommandBarSlot","condition","shellForm, ControlName","If LenB(ControlName) = 0 Or Not HasControl(shellForm, ControlName) Then","Boolean/Truth value"
"HasControl","modAppShell","802","ApplyQuickSearchConfig","condition","shellForm, TEXT_QUICK_SEARCH","If HasControl(shellForm, TEXT_QUICK_SEARCH) Then","Boolean/Truth value"
"HasControl","modAppShell","811","ApplyQuickSearchConfig","condition","shellForm, COMMAND_QUICK_SEARCH_CLEAR","If HasControl(shellForm, COMMAND_QUICK_SEARCH_CLEAR) Then","Boolean/Truth value"
"HasControl","modAppShell","959","ResolveSlotCommandKey","condition","shellForm, ControlName","If HasControl(shellForm, ControlName) Then","Boolean/Truth value"
"HasControl","modAppShell","966","ResolveQuickSearchCommandKey","condition","shellForm, COMMAND_QUICK_SEARCH_CLEAR","If HasControl(shellForm, COMMAND_QUICK_SEARCH_CLEAR) Then","Boolean/Truth value"
"HasControl","modAppShell","970","ResolveQuickSearchCommandKey","condition","shellForm, TEXT_QUICK_SEARCH","If HasControl(shellForm, TEXT_QUICK_SEARCH) Then","Boolean/Truth value"
"HasControl","modAppShell","1072","ClearQuickSearchText","condition","shellForm, TEXT_QUICK_SEARCH","If HasControl(shellForm, TEXT_QUICK_SEARCH) Then","Boolean/Truth value"
"HasControl","modAppShell","1076","ClearQuickSearchText","condition","shellForm, TEXT_SHELL_SEARCH","If HasControl(shellForm, TEXT_SHELL_SEARCH) Then","Boolean/Truth value"
"HasControl","modAppShell","1092","ResolveCurrentWorkspaceForm","condition","shellForm, WORKSPACE_SUBFORM_CONTROL","If Not HasControl(shellForm, WORKSPACE_SUBFORM_CONTROL) Then","Boolean/Truth value"
"HasControl","modAppWorkspaceService","527","GetWorkspaceHostControl","condition","shellForm, WORKSPACE_SUBFORM_CONTROL","If HasControl(shellForm, WORKSPACE_SUBFORM_CONTROL) Then","Boolean/Truth value"
"HasControl","modAppWorkspaceService","594","ResolveWorkspaceHostForm","condition","shellForm, WORKSPACE_SUBFORM_CONTROL","If HasControl(shellForm, WORKSPACE_SUBFORM_CONTROL) Then","Boolean/Truth value"
