form,module,event_type,event_name,line_start,line_end,reads,writes,calls,saves,requery_or_refresh,navigation,notes
frmOrderDetail,Form_frmOrderDetail,Form,Form_Open,55,63,Control existence,PaymentTerm RowSource,PrimePaymentTermComboEarly,No,No,No,Early UI priming before final context
frmOrderDetail,Form_frmOrderDetail,Form,Form_Load,65,111,Me.OpenArgs pending OpenArgs RecordSource flags,RecordSource state flags UI state,InitializeRecordSource ApplyWorkspaceOpenArgs PrepareDeferredWorkspaceContext ConfigureOrderLinesSubform ConfigureHeaderControls ApplyTranslations UpdateLocalCommandButtons UpdateHeaderCaptionUi,Indirect,Possible via ApplyWorkspaceOpenArgs,No,Main convergence point for temp persisted and deferred modes
frmOrderDetail,Form_frmOrderDetail,Form,Form_Current,147,159,Current bound record controls,UI captions combos command buttons,RefreshPaymentTermDisplay EnsureDefaultPaymentTerm RefreshVatModeDisplay UpdateHeaderCaptionUi UpdateLocalCommandButtons,No,No,No,Runs repeatedly and mutates UI plus default payment term
frmOrderDetail,Form_frmOrderDetail,Control,cboDeliveryAddressId_AfterUpdate,191,199,CustomerAddressId DeliveryAddressId,vat_mode vat_code vat_rate header UI,ApplyDeliveryAddressVatDefaults,Indirect,Possible,No,Can trigger full order recalculation
frmOrderDetail,Form_frmOrderDetail,Control,cboLanguageCode_AfterUpdate,201,209,language_code,PaymentTerm display RowSource,RefreshPaymentTermDisplay,No,No,No,Language affects payment term text
frmOrderDetail,Form_frmOrderDetail,Control,cboVatMode_AfterUpdate,211,227,vat_mode order ids,Header totals persisted values,RefreshVatModeDisplay RecalculateTemporaryOrder RecalculateOrder RefreshCalculatedTotals,Indirect,Yes,No,Immediate full recalc for vat mode changes
frmOrderDetail,Form_frmOrderDetail,Control,txtVatRate_AfterUpdate,229,237,vat_rate,VatMode display,RefreshVatModeDisplay,No,No,No,Display only no totals recalc
frmOrderDetail,Form_frmOrderDetail,Workspace,CanLeaveWorkspace,239,269,m_isTemporaryOrder tmp_order_id Me.Dirty,May delete tmp_order state flag,DeleteTemporaryOrder CancelCurrentEdit,Maybe,No,Yes via caller,Deletes temp data before navigation has fully succeeded
frmOrderDetail,Form_frmOrderDetail,Workspace,GetWorkspaceCommandBarConfig,276,328,m_isTemporaryOrder shell host,Command captions commands,None,No,No,No,Same slot means refresh in temp mode and apply in persisted mode
frmOrderDetail,Form_frmOrderDetail,Workspace,ApplyWorkspaceOpenArgs,409,469,OpenArgs flags order existence,RecordSource filter mode flags subform config,ActivateTemporaryOrderContext OrderExists RestoreCurrentOrderSelection ConfigureOrderLinesSubform ConfigureHeaderControls RequeryOrderLinesSubform UpdateOrderLinesAvailability UpdateHeaderCaptionUi,No,Yes,No,Second business initialization path besides Form_Load
frmOrderDetail,Form_frmOrderDetail,Public,DetailSave,479,485,m_isTemporaryOrder dirty state,None,PersistTemporaryOrderAndReload ApplyCurrentRecord ReturnToPreviousWorkspace,Yes,Yes,Yes,Persisted save closes temp save reopens persisted form
