"source_type","source_name","payment_term_code","canonical_code","usage_count","details"
"repo_reference","src/access/exported/modules\modDemoDataSeeder.bas","CASH_DISCOUNT_10_2_NET_30","CASH_DISCOUNT_10_2_NET_30","1","line=437; snippet=mDocInvoiceEu = EnsureDocument(db, ""INVOICE"", ""FINAL"", ""RE-2026-0002"", DateSerial(2026, 5, 2), mAddressBillingDe, ""Beispiel GmbH"", ""EUR"", ""NET"", 19, ""EU-Rechnung mit Positionsrabatt und Kopfrabatt. Separate Lieferadresse: Beispiel GmbH - Site Paris, 12 Rue Lafayette, 75009 Paris, FR"", ""PERCENT"", 5, ""de-DE"", ""CASH_DISCOUNT_10_2_NET_30"", ""2% Skonto bei Zahlung innert 10 Tagen, ansonsten zahlbar innert 30 Tagen netto."")"
"repo_reference","src/access/exported/modules\modMigrationPaymentTerms.bas","CASH_DISCOUNT_10_2_NET_30","CASH_DISCOUNT_10_2_NET_30","1","line=199; snippet=EnsurePaymentTerm db, ""CASH_DISCOUNT_10_2_NET_30"", ""de-CH"", ""10 Tage -2% Skonto, 30 Tage netto"", _"
"repo_reference","src/access/exported/modules\modMigrationPaymentTerms.bas","MILESTONE_50_25_25","MILESTONE_50_25_25","1","line=205; snippet=EnsurePaymentTerm db, ""MILESTONE_50_25_25"", ""de-CH"", ""50% Anzahlung, 25% bei Launch, 25% nach 30 Tagen"", _"
"live_table","ten_payment_term","NET_30","NET_30","2",""
"live_table","tmp_order","NET_30","NET_30","8",""
"live_table","doc_document","NET_30","NET_30","3",""
"repo_reference","src/access/exported/modules\modDemoDataSeeder.bas","NET_30","NET_30","1","line=312; snippet=PaymentTermCode:=""NET_30"", _"
"repo_reference","src/access/exported/modules\modDemoDataSeeder.bas","NET_30","NET_30","1","line=435; snippet=mDocInvoiceCh = EnsureDocument(db, ""INVOICE"", ""FINAL"", ""RE-2026-0001"", DateSerial(2026, 5, 2), mAddressBillingCh, ""Muster Handel AG"", ""CHF"", ""NET"", 7.7, ""Schweizer Rechnung / Standardfall"", """", 0, ""de-CH"", ""NET_30"", ""Zahlbar innert 30 Tagen netto."")"
"repo_reference","src/access/exported/modules\modDemoDataSeeder.bas","NET_30","NET_30","1","line=437; snippet=mDocInvoiceEu = EnsureDocument(db, ""INVOICE"", ""FINAL"", ""RE-2026-0002"", DateSerial(2026, 5, 2), mAddressBillingDe, ""Beispiel GmbH"", ""EUR"", ""NET"", 19, ""EU-Rechnung mit Positionsrabatt und Kopfrabatt. Separate Lieferadresse: Beispiel GmbH - Site Paris, 12 Rue Lafayette, 75009 Paris, FR"", ""PERCENT"", 5, ""de-DE"", ""CASH_DISCOUNT_10_2_NET_30"", ""2% Skonto bei Zahlung innert 10 Tagen, ansonsten zahlbar innert 30 Tagen netto."")"
"repo_reference","src/access/exported/modules\modDemoDataSeeder.bas","NET_30","NET_30","1","line=441; snippet=mDocCreditNote = EnsureDocument(db, ""CREDIT_NOTE"", ""FINAL"", ""GS-2026-0001"", DateSerial(2026, 5, 2), mAddressBillingDe, ""Beispiel GmbH"", ""EUR"", ""NET"", 19, ""Gutschrift mit negativer Position"", """", 0, ""de-DE"", ""NET_30"", ""Zahlbar innert 30 Tagen netto."")"
"repo_reference","src/access/exported/modules\modDemoDataSeeder.bas","NET_30","NET_30","1","line=445; snippet=mDocLongInvoice = EnsureDocument(db, ""INVOICE"", ""FINAL"", ""RE-2026-0099"", DateSerial(2026, 5, 3), mAddressBillingCh, ""Muster Handel AG"", ""CHF"", ""NET"", 7.7, DemoLongInvoiceRemarks(), """", 0, ""de-CH"", ""NET_30"", ""Zahlbar innert 30 Tagen netto."")"
"repo_reference","src/access/exported/modules\modMigrationPaymentTerms.bas","NET_30","NET_30","1","line=196; snippet=EnsurePaymentTerm db, ""NET_30"", ""de-CH"", ""30 Tage netto"", _"
"repo_reference","src/access/exported/modules\modMigrationPaymentTerms.bas","NET_30","NET_30","1","line=199; snippet=EnsurePaymentTerm db, ""CASH_DISCOUNT_10_2_NET_30"", ""de-CH"", ""10 Tage -2% Skonto, 30 Tage netto"", _"
"repo_reference","src/access/exported/modules\modMigrationPaymentTerms.bas","NET_30","NET_30","1","line=211; snippet=EnsurePaymentTerm db, ""NET_30"", ""en"", ""Net 30 days"", _"
"live_table","ten_payment_term","PREPAYMENT","PREPAYMENT","2",""
"repo_reference","src/access/exported/modules\modDemoDataSeeder.bas","PREPAYMENT","PREPAYMENT","1","line=443; snippet=mDocInvoiceUsd = EnsureDocument(db, ""INVOICE"", ""FINAL"", ""RE-2026-0003"", DateSerial(2026, 5, 2), mAddressBillingUs, ""Global Components Inc."", ""USD"", ""EXPORT"", 0, DemoExportInvoiceRemarks(), """", 0, ""en-US"", ""PREPAYMENT"", ""Payable in advance."")"
"repo_reference","src/access/exported/modules\modMigrationPaymentTerms.bas","PREPAYMENT","PREPAYMENT","1","line=193; snippet=EnsurePaymentTerm db, ""PREPAYMENT"", ""de-CH"", ""Vorkasse"", _"
"repo_reference","src/access/exported/modules\modMigrationPaymentTerms.bas","PREPAYMENT","PREPAYMENT","1","line=208; snippet=EnsurePaymentTerm db, ""PREPAYMENT"", ""en"", ""Prepayment"", _"
"repo_reference","src/access/exported/modules\modMigrationPaymentTerms.bas","SPLIT_50_ORDER_50_DELIVERY","SPLIT_50_ORDER_50_DELIVERY","1","line=202; snippet=EnsurePaymentTerm db, ""SPLIT_50_ORDER_50_DELIVERY"", ""de-CH"", ""50% bei Auftragserteilung, 50% bei Lieferung"", _"
