"payment_term_code","translation_kind","language_code","translation_key","source_text_from_ten_payment_term","existing_fw_translation_text","status","source_payment_term_row_id","notes"
"PREPAYMENT","TITLE","de-CH","PAYMENT_TERM.PREPAYMENT.TITLE","Vorkasse","","READY_TO_MIGRATE","1","Can be migrated from ten_payment_term."
"PREPAYMENT","TITLE","en-US","PAYMENT_TERM.PREPAYMENT.TITLE","Prepayment","","READY_TO_MIGRATE","6","Can be migrated from ten_payment_term."
"PREPAYMENT","TITLE","fr-CH","PAYMENT_TERM.PREPAYMENT.TITLE","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"PREPAYMENT","TERMS","de-CH","PAYMENT_TERM.PREPAYMENT.TERMS","Zahlbar im Voraus.","","READY_TO_MIGRATE","1","Can be migrated from ten_payment_term."
"PREPAYMENT","TERMS","en-US","PAYMENT_TERM.PREPAYMENT.TERMS","Payable in advance.","","READY_TO_MIGRATE","6","Can be migrated from ten_payment_term."
"PREPAYMENT","TERMS","fr-CH","PAYMENT_TERM.PREPAYMENT.TERMS","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"NET_30","TITLE","de-CH","PAYMENT_TERM.NET_30.TITLE","30 Tage netto","","READY_TO_MIGRATE","2","Can be migrated from ten_payment_term."
"NET_30","TITLE","en-US","PAYMENT_TERM.NET_30.TITLE","Net 30 days","","READY_TO_MIGRATE","7","Can be migrated from ten_payment_term."
"NET_30","TITLE","fr-CH","PAYMENT_TERM.NET_30.TITLE","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"NET_30","TERMS","de-CH","PAYMENT_TERM.NET_30.TERMS","Zahlbar innert 30 Tagen netto.","","READY_TO_MIGRATE","2","Can be migrated from ten_payment_term."
"NET_30","TERMS","en-US","PAYMENT_TERM.NET_30.TERMS","Payable within 30 days net.","","READY_TO_MIGRATE","7","Can be migrated from ten_payment_term."
"NET_30","TERMS","fr-CH","PAYMENT_TERM.NET_30.TERMS","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"CASH_DISCOUNT_10_2_NET_30","TITLE","de-CH","PAYMENT_TERM.CASH_DISCOUNT_10_2_NET_30.TITLE","10 Tage -2% Skonto, 30 Tage netto","","READY_TO_MIGRATE","3","Can be migrated from ten_payment_term."
"CASH_DISCOUNT_10_2_NET_30","TITLE","en-US","PAYMENT_TERM.CASH_DISCOUNT_10_2_NET_30.TITLE","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"CASH_DISCOUNT_10_2_NET_30","TITLE","fr-CH","PAYMENT_TERM.CASH_DISCOUNT_10_2_NET_30.TITLE","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
