"ProcedureName","CallerModule","LineNumber","LineText"
"EnsureDocumentCalculationSchema","modDocumentCalculationService","61","EnsureDocumentCalculationSchema = False"
"ValidateBackendConfiguration","modDocumentCalculationService","63","If Not modDb.ValidateBackendConfiguration() Then"
"EnsureDocumentCalculationSchema","modDocumentCalculationService","64","modLoggingHandler.LogWarning MODULE_NAME & "".EnsureDocumentCalculationSchema"", _"
"LogWarning","modDocumentCalculationService","64","modLoggingHandler.LogWarning MODULE_NAME & "".EnsureDocumentCalculationSchema"", _"
"GetCurrentDatabase","modDocumentCalculationService","69","Set db = modDb.GetCurrentDatabase()"
"TableExists","modDocumentCalculationService","74","If Not TableExists(db, TABLE_DOC_DOCUMENT_POSITION) Then"
"EnsureDocumentCalculationSchema","modDocumentCalculationService","75","modLoggingHandler.LogWarning MODULE_NAME & "".EnsureDocumentCalculationSchema"", _"
"LogWarning","modDocumentCalculationService","75","modLoggingHandler.LogWarning MODULE_NAME & "".EnsureDocumentCalculationSchema"", _"
"TableExists","modDocumentCalculationService","80","If Not TableExists(db, TABLE_DOC_DOCUMENT) Then"
"EnsureDocumentCalculationSchema","modDocumentCalculationService","81","modLoggingHandler.LogWarning MODULE_NAME & "".EnsureDocumentCalculationSchema"", _"
"LogWarning","modDocumentCalculationService","81","modLoggingHandler.LogWarning MODULE_NAME & "".EnsureDocumentCalculationSchema"", _"
"EnsureTextField","modDocumentCalculationService","86","If Not EnsureTextField(db, TABLE_DOC_DOCUMENT_POSITION, FIELD_DISCOUNT_TYPE, TEXT_FIELD_SIZE_TYPE, ADJUSTMENT_TYPE_NONE) Then GoTo CleanExit"
"EnsureCurrencyField","modDocumentCalculationService","87","If Not EnsureCurrencyField(db, TABLE_DOC_DOCUMENT_POSITION, FIELD_DISCOUNT_VALUE, 0) Then GoTo CleanExit"
"EnsureTextField","modDocumentCalculationService","88","If Not EnsureTextField(db, TABLE_DOC_DOCUMENT_POSITION, FIELD_SURCHARGE_TYPE, TEXT_FIELD_SIZE_TYPE, ADJUSTMENT_TYPE_NONE) Then GoTo CleanExit"
"EnsureCurrencyField","modDocumentCalculationService","89","If Not EnsureCurrencyField(db, TABLE_DOC_DOCUMENT_POSITION, FIELD_SURCHARGE_VALUE, 0) Then GoTo CleanExit"
"EnsureCurrencyField","modDocumentCalculationService","90","If Not EnsureCurrencyField(db, TABLE_DOC_DOCUMENT_POSITION, FIELD_LINE_BASE_AMOUNT, 0) Then GoTo CleanExit"
