"ModuleName","ProcedureName","Kind","Visibility","Signature","ReturnType","Parameters","ParameterCount","StartLine","EndLine","CodeLines","CommentLines","CallSiteCount","CallingModules","UsesCurrentDb","UsesExplicitDaoDatabase","UsesPrivateModuleVariables","HasErrorHandling","HasLogging","SideEffects"
"modAddressCockpitService","GetAddressCockpitRecordSource","Function","Public","Public Function GetAddressCockpitRecordSource() As String","String","","0","18","20","2","0","1","modAddressCockpitService","False","False","","False","False",""
"modAddressCockpitService","CreateTemporarySalesOrderWorkspaceArgs","Function","Public","Public Function CreateTemporarySalesOrderWorkspaceArgs(ByVal addressId As Long) As String","String","ByVal addressId As Long","1","22","48","19","0","4","modAddressCockpitService","False","False","","True","True",""
"modAddressRepository","CreateAddress","Function","Public","Public Function CreateAddress(     ByVal addressTypeCode As String,     Optional ByVal CompanyName As String = """",     Optional ByVal FirstName As String = """",     Optional ByVal LastName As String = """",     Optional ByVal street As String = """",     Optional ByVal HouseNo As String = """",     Optional ByVal zipCode As String = """",     Optional ByVal city As String = """",     Optional ByVal countryCode As String = """",     Optional ByVal languageCode As String = """",     Optional ByVal salutationCode As String = """",     Optional ByVal addressingModeCode As String = """",     Optional ByVal preferredName As String = """" ) As Long","Long","ByVal addressTypeCode As String; Optional ByVal CompanyName As String = """"; Optional ByVal FirstName As String = """"; Optional ByVal LastName As String = """"; Optional ByVal street As String = """"; Optional ByVal HouseNo As String = """"; Optional ByVal zipCode As String = """"; Optional ByVal city As String = """"; Optional ByVal countryCode As String = """"; Optional ByVal languageCode As String = """"; Optional ByVal salutationCode As String = """"; Optional ByVal addressingModeCode As String = """"; Optional ByVal preferredName As String = """"","13","33","98","42","0","5","modAddressRepository","False","True","","True","True","DB_MUTATION"
"modAddressRepository","AddressExists","Function","Public","Public Function AddressExists(ByVal addressId As Long) As Boolean","Boolean","ByVal addressId As Long","1","100","130","23","0","6","modAddressCockpitService; modAddressRepository; modDocumentRepository; modOrderRepository","False","True","","True","False",""
"modAddressRepository","GetAddressDisplayName","Function","Public","Public Function GetAddressDisplayName(ByVal addressId As Long, Optional ByVal defaultValue As String = """") As String","String","ByVal addressId As Long; Optional ByVal defaultValue As String = """"","2","132","183","40","0","12","modAddressRepository; modDemoDataSeeder; modDocumentRepository; modOrderRepository","False","True","","True","False",""
"modAddressRepository","CanReadAddresses","Function","Private","Private Function CanReadAddresses() As Boolean","Boolean","","0","185","199","10","0","7","modAddressRepository","False","False","","False","True",""
"modAddressRepository","CanWriteAddresses","Function","Private","Private Function CanWriteAddresses() As Boolean","Boolean","","0","201","203","2","0","2","modAddressRepository","False","False","","False","False",""
"modAddressRepository","TableExists","Function","Private","Private Function TableExists(ByVal tableName As String) As Boolean","Boolean","ByVal tableName As String","1","205","228","19","0","114","modAddressRepository; modAppNavigationService; modArticleGroupService; modBasicModuleSchema; modContactRepository; modDemoDataSeeder; modDocumentCalculationService; modDocumentRepository; modFwComposerService; modFwSetup; modFwTranslationAuditService; modFwTranslationEditService; modFwTranslationRuntime; modFwTranslationTagGeneratorService; modMigrationPaymentTerms; modMigrationTranslations; modNumberRangeRepository; modOrderRepository; modOutputPathService; modTenantRepository; modUserRepository","False","True","","True","False",""
"modAddressRepository","SetRecordsetValue","Sub","Private","Private Sub SetRecordsetValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal fieldValue As Variant)","","ByVal rs As DAO.Recordset; ByVal fieldName As String; ByVal fieldValue As Variant","3","230","234","4","0","151","modAddressRepository; modContactRepository; modDocumentCalculationService; modDocumentRepository; modOrderCalculationService; modOrderRepository","False","False","","False","False",""
"modAddressRepository","ResolveFieldValue","Function","Private","Private Function ResolveFieldValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As String) As String","String","ByVal rs As DAO.Recordset; ByVal fieldName As String; ByVal defaultValue As String","3","236","242","6","0","10","modAddressRepository; modContactRepository","False","False","","False","False",""
