"procedure_name","target_module","target_signature","caller_module","line_number","line_text","call_style","arguments","needs_explicit_db","uses_currentdb_context"
"TableExists","modAddressRepository","Private Function TableExists(ByVal tableName As String) As Boolean","modAddressRepository","192","If Not TableExists(TABLE_ADR_ADDRESS) Then","unqualified-local","TABLE_ADR_ADDRESS","False","False"
"TableExists","modAppNavigationService","Private Function TableExists(ByVal table_name As String) As Boolean","modAppNavigationService","341","If Not TableExists(TABLE_NAVIGATION) Then","unqualified-local","TABLE_NAVIGATION","False","False"
"TableExists","modAppNavigationService","Private Function TableExists(ByVal table_name As String) As Boolean","modAppNavigationService","403","If Not TableExists(TABLE_NAVIGATION_ROLE) Then","unqualified-local","TABLE_NAVIGATION_ROLE","False","False"
"FieldExists","modAppNavigationService","Private Function FieldExists(ByVal table_name As String, ByVal field_name As String) As Boolean","modAppNavigationService","657","If Not FieldExists(table_name, field_name) Then","unqualified-local","table_name, field_name","False","False"
"TableExists","modArticleGroupService","Private Function TableExists(ByVal tableName As String) As Boolean","modArticleGroupService","34","If Not TableExists(TABLE_ARTICLE_GROUP) Then","unqualified-local","TABLE_ARTICLE_GROUP","False","False"
"FieldExists","modArticleGroupService","Private Function FieldExists(ByVal tableName As String, ByVal fieldName As String) As Boolean","modArticleGroupService","327","If Not FieldExists(tableName, fieldName) Then","unqualified-local","tableName, fieldName","False","False"
"TableExists","modBasicModuleSchema","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modBasicModuleSchema","107","If Not TableExists(db, ""tmp_order"") Then Exit Function","unqualified-local","db, ""tmp_order""","True","False"
"TableExists","modBasicModuleSchema","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modBasicModuleSchema","108","If Not TableExists(db, ""tmp_order_line"") Then Exit Function","unqualified-local","db, ""tmp_order_line""","True","False"
"TableExists","modBasicModuleSchema","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modBasicModuleSchema","140","modLoggingHandler.LogInfo MODULE_NAME & "".DiagnoseOrderSchema"", ""table_exists ord_order="" & CStr(TableExists(db, ""ord_order""))","unqualified-local","db, ""ord_order""","True","False"
"FieldExists","modBasicModuleSchema","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modBasicModuleSchema","141","modLoggingHandler.LogInfo MODULE_NAME & "".DiagnoseOrderSchema"", ""field_exists ord_order.customer_address_id="" & CStr(FieldExists(db, ""ord_order"", ""customer_address_id""))","unqualified-local","db, ""ord_order"", ""customer_address_id""","True","False"
