"translation_id","translation_key","language_code","translation_value","is_active","module_code","sort_order","created_at","created_by","updated_at","updated_by"
924,"APP_TITLE","en-US","Easis Version 4",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
925,"DOCUMENT","en-US","Document",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
926,"CUSTOMER","en-US","Customer",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
927,"TOTAL","en-US","Total",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
940,"APP_TITLE","de-CH","Easis Version 4",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
941,"DOCUMENT","de-CH","Beleg",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
942,"CUSTOMER","de-CH","Kunde",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
943,"TOTAL","de-CH","Total",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
944,"ADDRESS_TYPE.PRIVATE","de-CH","Privat",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
946,"ADDRESS_TYPE.PRIVATE","fr-CH","Prive",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
948,"ADDRESS_TYPE.PRIVATE","en-US","Private",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
949,"ADDRESS_TYPE.COMPANY","de-CH","Firma",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
951,"ADDRESS_TYPE.COMPANY","fr-CH","Entreprise",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
953,"ADDRESS_TYPE.COMPANY","en-US","Company",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
954,"ADDRESS_TYPE.CUSTOMER","de-CH","Kunde",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
956,"ADDRESS_TYPE.CUSTOMER","fr-CH","Client",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
958,"ADDRESS_TYPE.CUSTOMER","en-US","Customer",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
959,"ADDRESS_TYPE.SUPPLIER","de-CH","Lieferant",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
961,"ADDRESS_TYPE.SUPPLIER","fr-CH","Fournisseur",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
963,"ADDRESS_TYPE.SUPPLIER","en-US","Supplier",1,,"0",30.05.2026 09:47:35,"SYSTEM",30.05.2026 09:47:35,"SYSTEM"
964,"ADDRESS_TYPE.PARTNER","de-CH","Partner",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
966,"ADDRESS_TYPE.PARTNER","fr-CH","Partenaire",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
968,"ADDRESS_TYPE.PARTNER","en-US","Partner",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
969,"ADDRESS_TYPE.EMPLOYEE","de-CH","Mitarbeiter",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
971,"ADDRESS_TYPE.EMPLOYEE","fr-CH","Employe",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
973,"ADDRESS_TYPE.EMPLOYEE","en-US","Employee",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
974,"ADDRESS_TYPE.OTHER","de-CH","Andere",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
976,"ADDRESS_TYPE.OTHER","fr-CH","Autre",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
978,"ADDRESS_TYPE.OTHER","en-US","Other",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
979,"SALUTATION.MR","de-CH","Herr",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
981,"SALUTATION.MR","fr-CH","Monsieur",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
983,"SALUTATION.MR","en-US","Mr.",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
984,"SALUTATION.MS","de-CH","Frau",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
986,"SALUTATION.MS","fr-CH","Madame",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
988,"SALUTATION.MS","en-US","Ms.",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
989,"SALUTATION.COMPANY","de-CH","Firma",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
991,"SALUTATION.COMPANY","fr-CH","Entreprise",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
993,"SALUTATION.COMPANY","en-US","Company",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
994,"SALUTATION.NEUTRAL","de-CH","Neutral",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
996,"SALUTATION.NEUTRAL","fr-CH","Neutre",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
998,"SALUTATION.NEUTRAL","en-US","Neutral",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
999,"ADDRESSING_MODE.FORMAL","de-CH","Formal",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1001,"ADDRESSING_MODE.FORMAL","fr-CH","Formel",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1003,"ADDRESSING_MODE.FORMAL","en-US","Formal",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1004,"ADDRESSING_MODE.INFORMAL","de-CH","Informell",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1006,"ADDRESSING_MODE.INFORMAL","fr-CH","Informel",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1008,"ADDRESSING_MODE.INFORMAL","en-US","Informal",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1009,"CONTACT_TYPE.EMAIL","de-CH","E-Mail",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1011,"CONTACT_TYPE.EMAIL","fr-CH","E-mail",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1013,"CONTACT_TYPE.EMAIL","en-US","E-Mail",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1014,"CONTACT_TYPE.PHONE","de-CH","Telefon",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1016,"CONTACT_TYPE.PHONE","fr-CH","Telephone",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1018,"CONTACT_TYPE.PHONE","en-US","Phone",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1019,"CONTACT_TYPE.MOBILE","de-CH","Mobil",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1021,"CONTACT_TYPE.MOBILE","fr-CH","Mobile",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
