"tmp_order_id","session_id","order_id","order_no","customer_address_id","invoice_address_id","delivery_address_id","customer_name","order_type_code","order_status_code","order_date","delivery_date","valid_until","reference_text","external_reference","language_code","currency_code","payment_term_code","vat_mode","vat_code","vat_rate","header_discount_type","header_discount_value","header_discount_amount","header_surcharge_type","header_surcharge_value","header_surcharge_amount","subtotal_net_amount","net_amount","vat_amount","gross_amount","notes_text","internal_notes_text","result_document_id","created_at","created_by","updated_at","updated_by"
1,"SYSTEM",0,"",30,30,30,"Beispiel GmbH","SO","DRAFT",14.06.2026 00:00:00,,,,,"DE-CH","CHF","NET_30","NONE","CH_ZERO",0.00,"NONE",CHF 0.00,CHF 0.00,"NONE",CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,,,0,14.06.2026 11:09:41,"SYSTEM",14.06.2026 11:09:41,"SYSTEM"
5,"SYSTEM",0,"",28,28,28,"Muster Handel AG","SO","DRAFT",14.06.2026 00:00:00,,,,,"de-CH","CHF","","INCLUSIVE","CH_STANDARD",8.10,"NONE",CHF 0.00,CHF 0.00,"NONE",CHF 0.00,CHF 0.00,CHF 439.41,CHF 439.41,CHF 35.59,CHF 475.00,,,0,14.06.2026 12:05:03,"SYSTEM",14.06.2026 12:05:03,"SYSTEM"
8,"SYSTEM",0,"",30,30,30,"Beispiel GmbH","SO","DRAFT",14.06.2026 00:00:00,,,,,"DE-CH","CHF","","NONE","CH_ZERO",0.00,"NONE",CHF 0.00,CHF 0.00,"NONE",CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,,,0,14.06.2026 12:46:11,"SYSTEM",14.06.2026 12:46:11,"SYSTEM"
9,"SYSTEM",0,"",30,30,30,"Beispiel GmbH","SO","DRAFT",14.06.2026 00:00:00,,,,,"DE-CH","CHF","","NONE","CH_ZERO",0.00,"NONE",CHF 0.00,CHF 0.00,"NONE",CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,,,0,14.06.2026 12:50:35,"SYSTEM",14.06.2026 12:50:35,"SYSTEM"
15,"SYSTEM",0,"",30,30,30,"Beispiel GmbH","SO","DRAFT",14.06.2026 00:00:00,,,,,"DE-CH","CHF","","NONE","CH_ZERO",0.00,"NONE",CHF 0.00,CHF 0.00,"NONE",CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,,,0,14.06.2026 17:04:18,"SYSTEM",14.06.2026 17:04:18,"SYSTEM"
16,"SYSTEM",0,"",28,28,28,"Muster Handel AG","SO","DRAFT",14.06.2026 00:00:00,,,,,"de-CH","CHF","","INCLUSIVE","CH_STANDARD",8.10,"NONE",CHF 0.00,CHF 0.00,"NONE",CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,,,0,14.06.2026 22:30:39,"SYSTEM",14.06.2026 22:30:39,"SYSTEM"
17,"SYSTEM",0,"",28,28,28,"Muster Handel AG","SO","DRAFT",15.06.2026 00:00:00,,,,,"fr-FR","CHF","NET_30","NONE","CH_ZERO",0.00,"NONE",CHF 0.00,CHF 0.00,"NONE",CHF 0.00,CHF 0.00,CHF 516.90,CHF 516.90,CHF 0.00,CHF 516.90,,,0,15.06.2026 14:23:36,"SYSTEM",15.06.2026 14:23:36,"SYSTEM"
18,"SYSTEM",0,"",28,28,28,"Muster Handel AG","SO","DRAFT",17.06.2026 00:00:00,,,,,"de-CH","CHF","NET_30","INCLUSIVE","CH_STANDARD",8.10,"NONE",CHF 0.00,CHF 0.00,"NONE",CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,,,0,17.06.2026 11:48:23,"SYSTEM",17.06.2026 11:48:23,"SYSTEM"
19,"SYSTEM",0,"",28,28,28,"Muster Handel AG","SO","DRAFT",17.06.2026 00:00:00,,,,,"de-CH","CHF","NET_30","INCLUSIVE","CH_STANDARD",8.10,"NONE",CHF 0.00,CHF 0.00,"NONE",CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,,,0,17.06.2026 11:49:28,"SYSTEM",17.06.2026 11:49:28,"SYSTEM"
21,"SYSTEM",0,"",28,28,28,"Muster Handel AG","SO","DRAFT",18.06.2026 00:00:00,,,,,"de-CH","CHF","NET_30","INCLUSIVE","CH_STANDARD",8.10,"NONE",CHF 0.00,CHF 0.00,"NONE",CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,,,0,18.06.2026 08:16:20,"SYSTEM",18.06.2026 08:16:20,"SYSTEM"
22,"SYSTEM",0,"",28,28,28,"Muster Handel AG","SO","DRAFT",18.06.2026 00:00:00,,,,,"de-CH","CHF","NET_30","INCLUSIVE","CH_STANDARD",8.10,"NONE",CHF 0.00,CHF 0.00,"NONE",CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,,,0,18.06.2026 08:31:32,"SYSTEM",18.06.2026 08:31:32,"SYSTEM"
23,"SYSTEM",0,"",30,30,30,"Beispiel GmbH","SO","DRAFT",31.07.2026 00:00:00,,,,,"de-CH","CHF","NET_30","NONE","CH_ZERO",0.00,"NONE",CHF 0.00,CHF 0.00,"NONE",CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,,,0,31.07.2026 11:50:22,"SYSTEM",31.07.2026 11:50:22,"SYSTEM"
24,"SYSTEM",0,"",30,30,30,"Beispiel GmbH","SO","DRAFT",31.07.2026 00:00:00,,,,,"de-CH","CHF","NET_30","NONE","CH_ZERO",0.00,"NONE",CHF 0.00,CHF 0.00,"NONE",CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,,,0,31.07.2026 11:51:27,"SYSTEM",31.07.2026 11:51:27,"SYSTEM"
